시간,주가,순간거래량,체결강도
09:00:03,225500,0,88.25
09:02:08,226000,7921,84.65
09:04:14,225000,3704,89.33
09:06:20,222500,3855,92.7
09:08:26,220500,5349,96.9
09:10:37,218500,3963,90.44
09:12:43,219000,3001,94.08
09:14:50,220500,2760,94.06
09:16:55,221500,3396,93.56
09:19:03,222000,2599,92.86
09:21:09,222000,3219,95.84
09:23:15,221500,2310,92.94
09:25:21,221000,2173,90.25
09:27:26,221000,573,88.54
09:29:32,221000,907,88.52
09:31:38,221000,347,88.29
09:33:42,221000,564,88.29
09:35:45,220500,1649,89.41
09:37:52,220500,1843,88.89
09:39:58,220500,155,89.09
09:42:07,221000,1569,89.44
09:44:12,222000,298,89.66
09:46:19,221500,592,89.58
09:48:25,222000,577,90.17
09:50:27,222500,301,90.44
09:52:30,223500,3332,95.22
09:54:32,223000,1746,94.9
09:56:38,223500,722,94.98
09:58:48,223000,2083,95.67
10:00:55,223000,537,95.5
10:03:01,223000,71,95.48
10:05:07,223000,100,95.29
10:07:11,223000,1125,96.03
10:09:15,222500,937,95.76
10:11:19,222000,2960,95.68
10:13:25,222000,633,94.66
10:15:32,222250,281,94.58
10:17:44,222000,655,94.35
10:19:48,221250,373,94.84
10:21:53,221500,619,94.38
10:23:57,221500,362,94.2
10:26:03,221500,319,94.14
10:28:08,221250,121,94.14
10:30:15,221000,326,94.13
10:32:23,221500,376,94.29
10:34:27,221000,365,93.7
10:36:31,220500,1889,92.44
10:38:36,220000,1091,92.23
10:40:39,220500,555,91.78
10:42:48,220500,308,91.92
10:44:56,221000,3923,93.62
10:47:02,220500,763,93.36
10:49:09,220750,700,93.34
10:51:12,221000,872,93.33
10:53:15,221000,968,94.84
10:55:16,220750,1151,95.32
10:57:17,221500,242,95.5
10:59:18,220750,281,95.66
11:01:18,220500,310,95.57
11:03:19,220500,381,95.89
11:05:20,220500,299,96.19
11:07:21,221000,1453,96.5
11:09:22,220000,417,96.57
11:11:22,220000,629,96.49
11:13:25,220250,238,96.17
11:15:28,220500,310,96.13
11:17:31,220250,2447,97.17
11:19:32,220000,340,97.3
11:21:33,220500,3139,96.02
11:23:33,220750,515,96.36
11:25:35,221000,674,96.35
11:27:36,221500,2505,98.17
11:29:36,221500,84,98.12
11:31:37,221000,172,98.15
11:33:37,221500,102,98.16
11:35:42,221500,140,98.19
11:37:46,221750,1290,98.0
11:39:49,222500,372,98.31
11:41:51,222000,150,98.31
11:43:47,222000,406,98.39
11:45:45,222000,199,98.29
11:47:52,222500,375,98.33
11:49:48,222000,119,98.59
11:51:43,222000,1694,98.56
11:53:38,221750,886,97.24
11:55:34,221500,116,97.22
11:57:29,221500,345,97.25
11:59:24,222000,109,97.3
12:01:19,222000,276,97.26
12:03:14,222000,141,97.2
12:05:10,221500,1736,97.18
12:07:05,221750,71,97.19
12:09:00,221500,179,97.16
12:10:55,221500,233,97.17
12:12:50,221500,312,97.2
12:14:45,222000,763,97.45
12:16:40,221500,238,97.48
12:18:36,221500,1259,96.93
12:20:31,221750,65,96.93
12:22:26,221750,144,96.98
12:24:21,221750,427,97.03
12:26:17,221000,1618,96.78
12:28:12,222000,1321,97.69
12:30:07,221500,140,97.6
12:32:02,221500,78,97.67
12:33:57,221500,87,97.67
12:35:52,221500,69,97.7
12:37:46,221250,2207,97.53
12:39:42,221000,106,97.5
12:41:39,221500,4669,97.87
12:43:34,221000,2192,97.75
12:45:30,221250,182,97.72
12:47:31,221000,323,97.66
12:49:27,220750,341,97.75
12:51:22,220750,72,97.79
12:53:17,221000,398,97.77
12:55:12,220500,148,97.63
12:57:08,220500,143,97.51
12:59:02,221000,388,97.37
13:00:57,221000,168,97.38
13:02:52,220750,111,97.38
13:04:47,220000,1182,97.36
13:06:43,220250,770,98.22
13:08:38,220000,78,98.14
13:10:33,220500,347,98.08
13:12:28,220500,423,97.87
13:14:23,220250,1867,97.65
13:16:18,220500,135,97.51
13:18:15,220250,95,97.58
13:20:10,220500,132,97.53
13:22:05,220500,632,97.65
13:24:00,220500,64,97.68
13:25:55,220000,623,97.69
13:27:50,220000,230,97.67
13:29:45,220000,382,97.68
13:31:40,220000,1042,98.08
13:33:35,220250,218,98.23
13:35:31,220000,347,98.28
13:37:27,220250,84,98.28
13:39:22,220000,505,98.3
13:41:18,219500,2719,97.9
13:43:14,219500,303,98.04
13:45:09,219500,207,97.87
13:47:04,219500,249,97.81
13:48:59,219500,167,97.85
13:50:54,219000,1432,96.85
13:52:50,219000,254,96.79
13:54:45,219000,3753,97.23
13:56:41,218500,1478,97.01
13:58:37,218500,207,97.02
14:00:32,218000,1341,96.69
14:02:29,218500,1139,96.93
14:04:24,218500,1505,96.56
14:06:20,218500,128,96.56
14:08:15,218500,703,96.87
14:10:09,218500,649,96.88
14:12:05,218500,188,97.03
14:14:00,218000,2017,96.71
14:15:55,218000,205,96.95
14:17:50,218000,161,97.04
14:19:45,217500,2646,96.2
14:21:41,218250,1102,95.85
14:23:36,218000,172,95.82
14:25:31,218000,306,95.85
14:27:26,218000,312,95.68
14:29:22,218000,293,95.76
14:31:17,218000,548,95.44
14:33:12,218250,646,95.06
14:35:08,218500,250,95.17
14:37:04,218500,326,95.16
14:38:59,218250,369,95.08
14:40:55,218000,953,94.78
14:42:50,218000,371,94.68
14:44:46,218500,701,94.47
14:46:42,218250,447,94.39
14:48:38,218000,814,94.08
14:50:34,218250,448,93.94
14:52:29,218250,816,93.54
14:54:24,219000,1051,93.5
14:56:19,218000,676,93.23
14:58:14,218000,1029,92.88
15:00:10,218000,1803,92.28
15:02:05,218000,1041,92.05
15:04:00,218500,1119,91.64
15:05:55,218750,278,91.62
15:07:51,218500,107,91.53
15:09:46,219500,1050,91.09
15:11:42,218500,1582,90.33
15:13:38,218500,2062,90.43
15:15:33,218500,2794,90.49
15:17:28,218500,750,90.25
15:19:24,219000,1149,89.92
15:21:19,219000,98,89.92
15:23:14,219000,0,89.92
15:25:09,219000,0,89.92
15:27:05,219000,0,89.92
15:29:00,219000,0,89.92
